"id","sequence","type","parent_id/id","name","line"
"fi_report_64",64,"资产负债表（负债和权益）",,"负债和所有者（或股东）权益总计",58
"fi_report_63",63,"资产负债表（负债和权益）","fi_report_64","所有者（或股东）权益合计",57
"fi_report_62",62,"资产负债表（负债和权益）","fi_report_63","  未分配利润",56
"fi_report_61",61,"资产负债表（负债和权益）","fi_report_63","  盈余公积",55
"fi_report_60",60,"资产负债表（负债和权益）","fi_report_63","  减：库存股",54
"fi_report_59",59,"资产负债表（负债和权益）","fi_report_63","  资本公积",53
"fi_report_58",58,"资产负债表（负债和权益）","fi_report_63","  实收资本（或股本）",52
"fi_report_57",57,"资产负债表（负债和权益）",,"所有者（或股东）权益：",
"fi_report_56",56,"资产负债表（负债和权益）","fi_report_64","负债合计",51
"fi_report_55",55,"资产负债表（负债和权益）","fi_report_56","非流动负债合计",50
"fi_report_54",54,"资产负债表（负债和权益）","fi_report_55","  其他非流动负债",49
"fi_report_53",53,"资产负债表（负债和权益）","fi_report_55","  递延所得税负债",48
"fi_report_52",52,"资产负债表（负债和权益）","fi_report_55","  预计负债",47
"fi_report_51",51,"资产负债表（负债和权益）","fi_report_55","  专项应付款",46
"fi_report_50",50,"资产负债表（负债和权益）","fi_report_55","  长期应付款",45
"fi_report_49",49,"资产负债表（负债和权益）","fi_report_55","  应付债券",44
"fi_report_48",48,"资产负债表（负债和权益）","fi_report_55","  长期借款",43
"fi_report_47",47,"资产负债表（负债和权益）",,"非流动负债：",
"fi_report_46",46,"资产负债表（负债和权益）","fi_report_56","流动负债合计",42
"fi_report_45",45,"资产负债表（负债和权益）","fi_report_46","  其他流动负债",41
"fi_report_44",44,"资产负债表（负债和权益）","fi_report_46","  一年内到期的非流动负债",40
"fi_report_43",43,"资产负债表（负债和权益）","fi_report_46","  其他应付款",39
"fi_report_42",42,"资产负债表（负债和权益）","fi_report_46","  应付股利",38
"fi_report_41",41,"资产负债表（负债和权益）","fi_report_46","  应付利息",37
"fi_report_40",40,"资产负债表（负债和权益）","fi_report_46","  应交税费",36
"fi_report_39",39,"资产负债表（负债和权益）","fi_report_46","  应付职工薪酬",35
"fi_report_38",38,"资产负债表（负债和权益）","fi_report_46","  预收款项",34
"fi_report_37",37,"资产负债表（负债和权益）","fi_report_46","  应付账款",33
"fi_report_36",36,"资产负债表（负债和权益）","fi_report_46","  应付票据",32
"fi_report_35",35,"资产负债表（负债和权益）","fi_report_46","  交易性金融负债",31
"fi_report_34",34,"资产负债表（负债和权益）","fi_report_46","  短期借款",30
"fi_report_33",33,"资产负债表（负债和权益）",,"流动负债：",
"fi_report_32",32,"资产负债表（资产）",,"资产总计",29
"fi_report_31",31,"资产负债表（资产）","fi_report_32",,
"fi_report_30",30,"资产负债表（资产）","fi_report_32","非流动资产合计",28
"fi_report_29",29,"资产负债表（资产）","fi_report_30","  其他非流动资产",27
"fi_report_28",28,"资产负债表（资产）","fi_report_30","  递延所得税资产",26
"fi_report_27",27,"资产负债表（资产）","fi_report_30","  长期待摊费用",25
"fi_report_26",26,"资产负债表（资产）","fi_report_30","  商誉",24
"fi_report_25",25,"资产负债表（资产）","fi_report_30","  开发支出",23
"fi_report_24",24,"资产负债表（资产）","fi_report_30","  无形资产",22
"fi_report_23",23,"资产负债表（资产）","fi_report_30","  固定资产清理",21
"fi_report_22",22,"资产负债表（资产）","fi_report_30","  工程物资",20
"fi_report_21",21,"资产负债表（资产）","fi_report_30","  在建工程",19
"fi_report_20",20,"资产负债表（资产）","fi_report_30","  固定资产",18
"fi_report_19",19,"资产负债表（资产）","fi_report_30","  投资性房地产",17
"fi_report_18",18,"资产负债表（资产）","fi_report_30","  长期股权投资",16
"fi_report_17",17,"资产负债表（资产）","fi_report_30","  长期应收款",15
"fi_report_16",16,"资产负债表（资产）","fi_report_30","  持有至到期投资",14
"fi_report_15",15,"资产负债表（资产）","fi_report_30","  可供出售金融资产",13
"fi_report_14",14,"资产负债表（资产）",,"非流动资产：",
"fi_report_13",13,"资产负债表（资产）","fi_report_32","流动资产合计",12
"fi_report_12",12,"资产负债表（资产）","fi_report_13","  其他流动资产",11
"fi_report_11",11,"资产负债表（资产）","fi_report_13","  一年内到期的非流动资产",10
"fi_report_10",10,"资产负债表（资产）","fi_report_13","  存货",9
"fi_report_9",9,"资产负债表（资产）","fi_report_13","  其他应收款",8
"fi_report_8",8,"资产负债表（资产）","fi_report_13","  应收股利",7
"fi_report_7",7,"资产负债表（资产）","fi_report_13","  应收利息",6
"fi_report_6",6,"资产负债表（资产）","fi_report_13","  预付款项",5
"fi_report_5",5,"资产负债表（资产）","fi_report_13","  应收账款",4
"fi_report_4",4,"资产负债表（资产）","fi_report_13","  应收票据",3
"fi_report_3",3,"资产负债表（资产）","fi_report_13","  交易性金融资产",2
"fi_report_2",2,"资产负债表（资产）","fi_report_13","  货币资金",1
"fi_report_1",1,"资产负债表（资产）",,"流动资产：",
"fi_report_79",79,"利润表","fi_report_62","四、净利润（净亏损以“-”号填列）",15
"fi_report_78",78,"利润表","fi_report_79","  减：所得税费用",14
"fi_report_77",77,"利润表","fi_report_79","三、利润总额（亏损以“-”号填列）",13
"fi_report_76",76,"利润表","fi_report_77","  减：营业外支出",12
"fi_report_75",75,"利润表","fi_report_77","  加：营业外收入",11
"fi_report_74",74,"利润表","fi_report_77","二、营业利润（亏损以“-”号填列）",10
"fi_report_73",73,"利润表","fi_report_74","      公允价值变动收益（损失以“-”号填列）",9
"fi_report_72",72,"利润表","fi_report_74","  加：投资收益（损失以“-”号填列）",8
"fi_report_71",71,"利润表","fi_report_74","      资产减值损失",7
"fi_report_70",70,"利润表","fi_report_74","      财务费用",6
"fi_report_69",69,"利润表","fi_report_74","      管理费用",5
"fi_report_68",68,"利润表","fi_report_74","      销售费用",4
"fi_report_67",67,"利润表","fi_report_74","      营业税金及附加",3
"fi_report_66",66,"利润表","fi_report_74","  减：营业成本",2
"fi_report_65",65,"利润表","fi_report_74","一、营业收入",1

